,log2FC_TE_v1,pvalue_v1,log2FC_TE_v2,pvalue_v2,log2FC_TE_final,pvalue_final,pvalue.adjust
pbpG,-0.125902471405862,0.862306957245475,-0.151038238476799,0.803007350908522,-0.125902471405862,0.862306957245475,0.944655649171669
pck,0.0300534413306108,0.902288805096748,0.0320554400214501,0.966623445849435,0.0320554400214501,0.966623445849435,0.984991005626153
pcm,2.7650685301792,0.00241972822933363,2.7358257067391,0.00189945799921769,2.7650685301792,0.00241972822933363,0.0168960884346873
pcnB,1.43970805817848,0.0564802282959439,1.41935324626921,0.0512104363432797,1.43970805817848,0.0564802282959439,0.168269243115768
pdhR,1.24062564400472,0.1457594115538,1.2301354661013,0.0689287786462054,1.24062564400472,0.1457594115538,0.326962829486549
pdxA,0.333488543671049,0.683237106455071,0.313815391771052,0.659583758921438,0.333488543671049,0.683237106455071,0.839847078900457
pdxB,-0.571857155319111,0.420340288823256,-0.569882684744968,0.414886768784728,-0.571857155319111,0.420340288823256,0.644532459644352
pdxH,-3.26056301565623,0.000224731656723362,-3.30185353827103,4.08925895487557e-05,-3.26056301565623,0.000224731656723362,0.00268301896569083
pdxJ,-0.915492604082162,0.265371665424714,-0.919782435017021,0.23725403187902,-0.915492604082162,0.265371665424714,0.481862229498059
pdxK,0.36978850040123,0.645720352964745,0.340016850700524,0.718493747466438,0.340016850700524,0.718493747466438,0.862892483171558
pdxY,2.14131561967067,0.022260552487346,2.35739402988792,0.00251881231204731,2.14131561967067,0.022260552487346,0.086337456223824
pepA,-2.09386900688175,0.00612345899881596,-2.10627311278834,0.00934283523835926,-2.10627311278834,0.00934283523835926,0.0468539692377568
pepB,1.27522208113698,0.142281079923927,1.27089595370646,0.0737994769749354,1.27522208113698,0.142281079923927,0.323547674874706
pepD,-0.139914814815008,0.854767410445009,-0.173903789786546,0.835646804335464,-0.139914814815008,0.854767410445009,0.94038913852455
pepE,0.943890137444383,0.265888025076985,0.903850066145994,0.322109039144806,0.903850066145994,0.322109039144806,0.544337208168239
pepN,-1.55377458062911,0.0366033099706461,-1.54913548883413,0.0393418051824527,-1.54913548883413,0.0393418051824527,0.131970592530296
pepP,1.01891561515616,0.141663424432478,1.00930600287256,0.139565027600607,1.01891561515616,0.141663424432478,0.322632433851706
pepQ,-0.177769914971869,0.832021960069261,-0.183375526010363,0.820297590405593,-0.177769914971869,0.832021960069261,0.929037291337747
pepT,-0.539092830710996,0.479022766989649,-0.517615966702705,0.525479498786386,-0.517615966702705,0.525479498786386,0.73202017783767
perR,-0.406370662294236,0.785591813617367,-0.520770783394397,0.708999596849807,-0.406370662294236,0.785591813617367,0.903015225598471
pfkA,-2.79287628672843,0.000147083260250078,-2.81091660864616,0.000196601139939861,-2.81091660864616,0.000196601139939861,0.00242082426762357
pfkB,-1.51533652617244,0.0817114269746061,-1.48468751026375,0.110806650707054,-1.48468751026375,0.110806650707054,0.271746554355957
pflA,-0.0692629831718659,0.935573777697898,-0.0704641840021027,0.921325132534015,-0.0692629831718659,0.935573777697898,0.972319827881381
pflB,-1.44367103372205,0.0497896063818395,-1.44782322906455,0.0513454956094096,-1.44782322906455,0.0513454956094096,0.157883473502328
pflC,-0.241276601519189,0.894192674002764,0.86911636806618,0.588605200819992,-0.241276601519189,0.894192674002764,0.957550841617488
