,log2FC_TE_v1,pvalue_v1,log2FC_TE_v2,pvalue_v2,log2FC_TE_final,pvalue_final,pvalue.adjust
aegA,1.81538774999311,0.0731199745509426,1.84588846860685,0.0530179986365205,1.81538774999311,0.0731199745509426,0.247264809559171
aer,0.639662787192296,0.5544779878356,0.679858512171659,0.524880102424666,0.639662787192296,0.5544779878356,0.781645480291292
aes,0.0460881139468503,0.948282146815614,0.0472893151668394,0.94731433198293,0.0460881139468503,0.948282146815614,0.98648106684791
afuB,-0.547564016007641,0.644707039406441,-0.558607920386812,0.857696295539202,-0.558607920386812,0.857696295539202,0.943298433406477
afuC,-1.21099911838778,0.309255940017618,-1.19737653077017,0.339876829275071,-1.19737653077017,0.339876829275071,0.603851733251621
agaA,4.74797877352225,0.167835070490972,4.35935941274398,0.000208789204502227,4.74797877352225,0.167835070490972,0.411870410478641
agaB,0,0.981565873588007,-0.875172262671313,0.863883475170216,0,0.981565873588007,0.992867587468124
agaC,-4.06769575032838,0.0400721237887708,-4.57232054220539,0.0348816919091051,-4.06769575032838,0.0400721237887708,0.169490946907268
agaD,-1.03719713314016,0.435612017910722,-1.265372024529,0.404799572574596,-1.03719713314016,0.435612017910722,0.6895111294869
agaI,0.773103180277184,0.581222508517579,0.885801392898799,0.568629625683727,0.773103180277184,0.581222508517579,0.800236315899052
agaR,0.387656636220409,0.598411785790829,0.368056502641381,0.597167143431762,0.387656636220409,0.598411785790829,0.809824450683188
agaS,0.648896947772629,0.634895059424925,0.693966830192618,0.575211796715278,0.648896947772629,0.634895059424925,0.828193409795863
agaV,-2.22215329949008,0.259100653616742,-2.34402090428285,0.237653005469209,-2.22215329949008,0.259100653616742,0.521082914252794
agaW,4.29203357111011,0.0409893802135667,3.80054195199848,0.0066064649560307,4.29203357111011,0.0409893802135667,0.171331317701708
agp,-0.596557473837295,0.47858345031418,-0.596557492269223,0.484519533926932,-0.596557492269223,0.484519533926932,0.730702695623292
ahpC,-2.13571492030301,0.00396213845721023,-2.13705998960299,0.00389311090778836,-2.13571492030301,0.00396213845721023,0.0358764686180286
ahpF,-1.20164501881029,0.138708046164143,-1.21685131144362,0.139134898735355,-1.21685131144362,0.139134898735355,0.367374461987358
aidB,2.50105121683288,0.035908885738084,2.58840381363763,0.0173827733931556,2.50105121683288,0.035908885738084,0.158666798732052
ais,3.27770395240821,0.140552418760649,3.38939363967824,0.00027902720964716,3.27770395240821,0.140552418760649,0.370115393534898
alaA,0.490167050610873,0.524085564745723,0.469462497476365,0.519272391042759,0.490167050610873,0.524085564745723,0.759257897623051
alaC,1.9395407217272,0.00702470663200661,1.94900558817244,0.00900242334467913,1.94900558817244,0.00900242334467913,0.0640135147538487
alaE,-0.193243964725397,0.895342536305885,-0.134434908300758,0.905239815188554,-0.134434908300758,0.905239815188554,0.972064059975385
alaS,-0.341430388034836,0.607532344936542,-0.344990991525927,0.59738287987707,-0.341430388034836,0.607532344936542,0.816038078153215
aldA,1.05886051063585,0.18533913175374,1.05880579690242,0.261460383577138,1.05880579690242,0.261460383577138,0.523047443696707
aldB,-0.477269825142405,0.601550798581087,-0.431344639405765,0.670118021599118,-0.431344639405765,0.670118021599118,0.849012022849081
alkA,2.03263475142039,0.0265687252362853,2.08666478365097,0.0379353887183355,2.08666478365097,0.0379353887183355,0.164532794136562
alkB,0.174082981054094,0.883560203021842,0.232941855060503,0.808896836152526,0.174082981054094,0.883560203021842,0.960475592179896
allA,0.60910199372751,0.669601649861371,0.640333217464971,0.699583459709066,0.640333217464971,0.699583459709066,0.86458548492629
allB,-1.67212281719121,0.196021216164336,-1.61520734762368,0.195692096693407,-1.67212281719121,0.196021216164336,0.449151832154574
allC,1.18896997025618,0.36151204779852,1.29306190944983,0.265176717215413,1.18896997025618,0.36151204779852,0.624456546633773
allD,0.741115660519483,0.78118810392946,0.764563828275186,0.569631390637252,0.741115660519483,0.78118810392946,0.903255581384694
